,type,id,advertiser_type,advertiser_id,advertiser_name,displayPrice,propertyFeatures,propertyType,bathrooms,bedrooms,carspaces,unitNumber,streetNumber,street,area,region,suburb,postcode,latitude,longitude
0,PropertyListing,2015426283,Agency,17080,McGrath Estate Agents,"$890,000+","['Ensuite', 'Furnished', 'WaterViews']",ApartmentUnitFlat,2.0,2.0,2,804,19,Marcus Clarke Street,Inner North,Canberra,ACTON,2601,-35.2851639,149.1249
1,PropertyListing,2014368750,Agency,25426,Crowthers,"$695,000","['SecureParking', 'Furnished', 'BroadbandInternetAccess', 'Dishwasher', 'Study']",ApartmentUnitFlat,1.0,2.0,1,1002,25,Edinburgh Ave,Inner North,Canberra,ACTON,2601,-35.2849121,149.122589
2,PropertyListing,2014368797,Agency,25426,Crowthers,"$650,000","['AirConditioning', 'SecureParking', 'Furnished', 'Gym', 'BroadbandInternetAccess', 'Heating', 'Dishwasher', 'Study']",ApartmentUnitFlat,2.0,1.0,1,G09,19,Marcus Clarke Street,Inner North,Canberra,ACTON,2601,-35.2851639,149.1249
3,PropertyListing,2014828003,Agency,14110,LJ Hooker Kaleen,"$479,000+",[],ApartmentUnitFlat,1.0,1.0,1,806,25,Edinburgh Avenue,Inner North,Canberra,ACTON,2601,-35.2849121,149.122589
4,PropertyListing,2011843503,Agency,25426,Crowthers,"$880,000",['Ensuite'],ApartmentUnitFlat,2.0,2.0,2,,25,Edinburgh Avenue,Inner North,Canberra,ACTON,2601,-35.28517,149.123428
5,PropertyListing,2016053489,Agency,17080,McGrath Estate Agents,"$829,950","['Ensuite', 'Gym', 'DoubleGlazedWindows']",ApartmentUnitFlat,2.0,2.0,2,602,19,Marcus Clarke Street,Inner North,Canberra,ACTON,2601,-35.2851639,149.1249
6,PropertyListing,2012104543,Agency,25426,Crowthers,"$625,000","['SecureParking', 'Furnished', 'Study']",ApartmentUnitFlat,2.0,1.0,1,,19,Marcus Clarke Street,Inner North,Canberra,ACTON,2601,-35.2849274,149.125076
7,PropertyListing,2011843505,Agency,25426,Crowthers,"Offers Above $479,000",[],ApartmentUnitFlat,1.0,1.0,1,,25,Edinburgh Avenue,Inner North,Canberra,ACTON,2601,-35.28517,149.123428
8,PropertyListing,2014829769,Agency,17238,buyMyplace,All reasonable offers considered,"['BuiltInWardrobes', 'InternalLaundry', 'Furnished', 'Intercom', 'Heating', 'Dishwasher']",ApartmentUnitFlat,1.0,1.0,1,510,25,Edinburgh Avenue,Inner North,Canberra,ACTON,2601,-35.2851257,149.123108
9,PropertyListing,2011908963,Agency,25436,Simplicity Real Estate,"Offers Above $410,000","['Gas', 'SecureParking', 'WaterViews', 'Gym', 'Intercom', 'Heating', 'Dishwasher', 'DoubleGlazedWindows']",ApartmentUnitFlat,1.0,1.0,0,,25,Edinburgh Avenue,Inner North,Canberra,ACTON,2601,-35.2849121,149.122589
10,PropertyListing,2016022104,Agency,14106,LJ Hooker Dickson,By Negotiation,"['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'Gas', 'SecureParking', 'SwimmingPool', 'Dishwasher']",House,3.0,4.0,2,,25,Shortland Crescent,Inner North,Canberra,AINSLIE,2602,-35.2554245,149.148285
11,PropertyListing,2016043163,Agency,28314,home.byholly,Auction 6.:00pm Thursday 20 February,"['Ensuite', 'Floorboards', 'Gas', 'SecureParking', 'SwimmingPool', 'AlarmSystem', 'Bath', 'Heating', 'Study']",House,2.0,4.0,2,,58,Paterson Street,Inner North,Canberra,AINSLIE,2602,-35.2671432,149.1426
12,PropertyListing,2016040135,Agency,14106,LJ Hooker Dickson,Auction 22/2/20,"['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'Gas', 'SecureParking', 'SwimmingPool', 'Heating', 'Study']",House,3.0,4.0,2,,61,Duffy Street,Inner North,Canberra,AINSLIE,2602,-35.2642059,149.148026
13,PropertyListing,2016039695,Agency,31430,Hayman Partners,Auction on site 9:30am Saturday 22 February,"['BuiltInWardrobes', 'Ensuite', 'Floorboards', 'Gas', 'SecureParking', 'Heating', 'Study']",House,2.0,4.0,4,,92,Ebden Street,Inner North,Canberra,AINSLIE,2602,-35.25986,149.147842
